Date,Month,Day_of_Year,Week_of_Year,Temperature,Humidity,Rainfall_mm,NDVI,Vector_Density,Livestock_Density,Hosp_Bed_Occupancy,Vax_Coverage,Med_Supply_Index,Sanitation_Index,Healthcare_Worker_Ratio,Transit_Usage,Travel_Index,Mass_Gathering,Search_Volume,Social_Sentiment,Clinic_Visit_Surge,Cases_Lag_7,Cases_Lag_14,Cases_Roll_Avg_7,Cases_Roll_Avg_14,Cases_Roll_Avg_30,Cases_Growth_Rate_7d,Cases_Growth_Rate_14d,Case_Count,Outbreak_Label,Risk_Level
2022-01-29,1,29,4,19.28,28.49,0.0,0.297,0.147,471.0,65.22,0.568,0.807,0.716,2.38,0.812,0.773,0,98,0.388,1.251,8,17,19.57,16.21,13.1,1.625,0.2353,21,1,High
2022-01-30,1,30,4,19.95,44.76,1.91,0.166,0.031,430.0,75.96,0.569,0.72,0.668,2.44,0.677,0.74,0,87,0.466,1.23,9,16,20.71,16.29,13.23,0.8889,0.0625,17,1,Medium
2022-01-31,1,31,5,19.38,27.7,0.0,0.287,0.232,452.0,73.41,0.575,0.666,0.581,2.57,0.91,0.962,0,112,0.389,0.8,19,14,21.43,17.0,13.77,0.2632,0.7143,24,1,High
2022-02-01,2,32,5,24.34,36.02,0.0,0.19,0.166,559.0,92.99,0.529,0.836,0.43,1.68,0.397,0.248,0,76,0.472,0.971,27,11,20.57,17.71,14.17,-0.2222,0.9091,21,1,Medium
2022-02-02,2,33,5,20.66,29.31,0.0,0.211,0.091,529.0,58.15,0.527,0.605,0.483,2.88,0.714,0.386,0,123,0.043,0.869,20,13,20.71,18.29,14.43,0.05,0.6154,21,1,Medium
2022-02-03,2,34,5,18.63,33.08,0.0,0.185,0.085,577.0,72.29,0.526,0.667,0.554,2.45,0.566,0.248,0,103,0.371,1.036,19,16,20.43,18.36,14.77,-0.1053,0.0625,17,0,Low
2022-02-04,2,35,5,22.45,35.09,2.23,0.26,0.167,529.0,76.31,0.589,0.791,0.653,2.89,0.712,0.269,0,111,0.391,0.641,22,12,19.43,18.57,15.03,-0.3182,0.25,15,0,Low
2022-02-05,2,36,5,18.42,34.69,0.0,0.245,0.134,371.0,69.44,0.53,0.861,0.653,2.66,0.688,0.326,0,93,0.32,0.603,21,8,18.57,19.07,15.23,-0.2857,0.875,15,0,Low
2022-02-06,2,37,5,21.35,34.95,0.0,0.207,0.116,669.0,58.63,0.534,0.758,0.567,2.43,0.726,0.48,0,100,0.242,1.596,17,9,18.71,19.71,15.57,0.0588,1.0,18,1,Low
2022-02-07,2,38,6,17.07,41.77,0.0,0.121,0.101,530.0,84.57,0.575,0.74,0.584,2.58,0.797,0.144,0,90,0.433,1.484,24,19,18.0,19.71,15.8,-0.2083,0.0,19,0,Medium
2022-02-08,2,39,6,18.4,34.47,0.0,0.138,0.128,541.0,75.37,0.551,0.697,0.598,2.58,0.858,0.113,0,94,0.372,1.291,21,27,17.57,19.07,15.87,-0.1429,-0.3333,18,0,Low
2022-02-09,2,40,6,21.52,29.97,0.0,0.116,0.021,470.0,59.33,0.548,0.764,0.585,3.09,0.943,0.343,0,105,0.341,1.121,21,20,17.71,19.21,16.33,0.0476,0.1,22,0,Medium
2022-02-10,2,41,6,22.68,36.9,0.0,0.05,0.095,589.0,76.39,0.545,0.73,0.611,2.53,0.652,0.48,0,92,0.291,1.194,17,19,17.29,18.86,16.57,-0.1765,-0.2632,14,0,Low
2022-02-11,2,42,6,21.62,37.94,0.0,0.22,0.026,413.0,89.02,0.49,0.66,0.598,2.62,0.569,0.496,0,77,0.298,1.195,15,22,18.0,18.71,16.93,0.3333,-0.0909,20,0,Low
2022-02-12,2,43,6,21.12,23.14,0.0,0.135,0.136,549.0,71.64,0.531,0.695,0.483,2.0,0.466,0.294,0,119,0.212,1.6968,15,21,17.57,18.07,16.87,-0.2,-0.4286,12,0,Low
2022-02-13,2,44,6,20.83,33.79,0.0,0.129,0.07,334.0,71.98,0.595,0.651,0.585,2.48,0.715,0.287,0,123,0.264,1.0524,18,17,17.43,18.07,17.13,-0.0556,0.0,17,0,Low
2022-02-14,2,45,7,18.55,34.13,0.0,0.215,0.021,554.0,87.68,0.544,0.721,0.598,3.08,0.775,0.358,0,137,0.181,0.9732,19,24,17.14,17.57,17.13,-0.1053,-0.2917,17,0,Low
2022-02-15,2,46,7,20.15,27.86,0.0,0.111,0.061,414.0,62.3,0.503,0.733,0.669,2.67,0.448,0.322,0,123,0.28,1.1952,18,21,35.0,26.29,21.37,6.9444,5.8095,143,1,Critical
2022-02-16,2,47,7,20.75,37.62,0.0,0.088,0.111,522.0,89.28,0.53,0.851,0.542,2.07,0.822,0.354,0,92,0.416,1.149,22,21,36.57,27.14,22.0,0.5,0.5714,33,1,Medium
2022-02-17,2,48,7,23.87,28.21,0.0,0.113,0.109,609.0,81.73,0.572,0.672,0.614,2.11,0.635,0.45,0,102,0.498,0.936,14,17,39.14,28.21,22.7,1.2857,0.8824,32,1,Medium
2022-02-18,2,49,7,22.53,29.6,0.0,0.063,0.054,566.0,62.76,0.571,0.706,0.639,2.2,0.462,0.399,0,93,0.341,0.862,20,15,40.14,29.07,23.17,0.35,0.8,27,1,Low
2022-02-19,2,50,7,18.41,27.56,0.55,0.131,0.024,598.0,65.32,0.552,0.821,0.59,2.9,0.523,0.299,0,102,0.336,1.359,12,15,43.14,30.36,23.73,1.75,1.2,33,1,Medium
2022-02-20,2,51,7,22.67,28.45,5.69,0.09,0.146,590.0,66.75,0.541,0.864,0.477,2.85,0.509,0.285,0,91,0.376,0.791,17,18,45.14,31.29,24.37,0.8235,0.7222,31,1,Medium
2022-02-21,2,52,8,21.35,21.55,0.0,0.079,0.078,458.0,53.66,0.52,0.758,0.671,1.12,0.511,0.356,0,105,0.527,1.367,17,19,46.86,32.0,25.07,0.7059,0.5263,29,1,Low
2022-02-22,2,53,8,20.86,20.0,0.0,0.069,0.091,548.0,74.6,0.573,0.7,0.652,2.47,0.735,0.282,0,92,0.31,1.241,143,18,32.86,33.93,26.27,-0.6853,1.5,45,1,High
2022-02-23,2,54,8,23.53,37.25,0.0,0.089,0.11,362.0,63.21,0.587,0.682,0.616,2.56,0.78,0.283,0,89,0.433,1.478,33,22,31.71,34.14,26.47,-0.2424,0.1364,25,1,Low
2022-02-24,2,55,8,24.47,22.39,0.0,0.094,0.144,445.0,74.97,0.601,0.573,0.603,2.12,0.905,0.107,0,93,0.417,1.546,32,14,32.14,35.64,26.73,0.0938,1.5,35,1,Medium
2022-02-25,2,56,8,24.37,21.32,0.0,0.059,0.164,611.0,59.09,0.529,0.646,0.475,2.34,0.545,0.17,0,122,0.238,1.093,27,20,32.29,36.21,27.0,0.037,0.4,28,1,Low
2022-02-26,2,57,8,20.93,20.0,0.0,0.062,0.112,469.0,81.23,0.604,0.728,0.654,3.03,0.701,0.295,0,94,0.477,1.52,33,12,33.43,38.29,27.73,0.2424,2.4167,41,1,Medium
2022-02-27,2,58,8,22.09,23.06,0.64,0.071,0.104,351.0,79.38,0.561,0.706,0.704,2.66,0.553,0.429,0,117,0.0,1.126,31,17,33.0,39.07,27.93,-0.0968,0.6471,28,1,Low
2022-02-28,2,59,9,23.47,20.0,0.0,0.062,0.119,661.0,64.94,0.564,0.77,0.522,2.3,0.653,0.211,0,91,0.541,1.099,29,17,33.0,39.93,28.2,0.0,0.7059,29,1,Low
2022-03-01,3,60,9,24.87,36.4,0.0,0.068,0.107,545.0,75.6,0.59,0.704,0.694,2.43,0.428,0.309,0,99,0.135,1.048,45,143,29.43,31.14,28.3,-0.5556,-0.8601,20,0,Low
2022-03-02,3,61,9,22.07,32.45,0.0,0.05,0.028,561.0,72.83,0.547,0.662,0.679,2.41,0.482,0.238,0,94,0.325,0.891,25,33,28.57,30.14,28.13,-0.24,-0.4242,19,0,Low
2022-03-03,3,62,9,22.76,22.11,0.0,0.108,0.168,422.0,86.82,0.499,0.747,0.52,2.61,0.77,0.142,0,103,0.499,1.19,35,32,27.71,29.93,28.4,-0.1714,-0.0938,29,0,Low
2022-03-04,3,63,9,21.03,39.61,0.0,0.058,0.15,523.0,61.68,0.585,0.92,0.572,1.93,0.427,0.483,0,102,0.273,1.288,28,27,25.57,28.93,28.13,-0.5357,-0.5185,13,0,Low
2022-03-05,3,64,9,20.96,31.85,0.0,0.05,0.204,521.0,70.48,0.575,0.695,0.502,2.23,0.742,0.442,0,99,0.392,0.65,41,33,22.43,27.93,28.2,-0.5366,-0.4242,19,0,Low
2022-03-06,3,65,9,25.09,23.89,0.0,0.062,0.239,434.0,65.59,0.554,0.731,0.595,2.91,0.549,0.131,0,96,0.502,1.64,28,31,20.14,26.57,28.1,-0.5714,-0.6129,12,0,Low
2022-03-07,3,66,10,26.29,20.0,0.0,0.05,0.073,486.0,72.45,0.584,0.788,0.631,2.47,0.361,0.388,0,113,0.683,1.406,29,29,18.0,25.5,28.07,-0.5172,-0.5172,14,0,Low
2022-03-08,3,67,10,23.55,39.36,0.0,0.05,0.101,380.0,77.33,0.59,0.674,0.508,2.16,0.269,0.239,0,94,0.347,0.854,20,45,17.29,23.36,27.97,-0.25,-0.6667,15,0,Low
2022-03-09,3,68,10,25.82,20.0,0.0,0.05,0.255,472.0,65.48,0.52,0.822,0.627,2.18,0.87,0.498,0,113,0.382,1.141,19,25,16.57,22.57,27.8,-0.2632,-0.44,14,0,Low
2022-03-10,3,69,10,24.65,20.0,0.0,0.05,0.121,578.0,68.36,0.566,0.594,0.645,2.79,0.364,0.221,0,102,0.357,0.989,29,35,14.0,20.86,27.57,-0.6207,-0.6857,11,0,Low
2022-03-11,3,70,10,22.76,31.48,0.0,0.072,0.126,440.0,81.66,0.497,0.687,0.646,2.29,0.64,0.195,1,97,0.31,1.083,13,28,14.29,19.93,27.33,0.1538,-0.4643,15,0,Low
2022-03-12,3,71,10,24.89,39.91,0.0,0.05,0.048,653.0,85.57,0.562,0.695,0.632,2.7,0.703,0.327,0,98,0.108,0.966,19,41,13.29,17.86,27.27,-0.3684,-0.7073,12,0,Low
2022-03-13,3,72,10,27.37,33.51,0.0,0.057,0.144,385.0,76.94,0.555,0.732,0.514,2.25,0.453,0.434,0,98,0.148,1.131,12,28,13.0,16.57,26.93,-0.1667,-0.6429,10,0,Low
2022-03-14,3,73,11,24.34,28.53,0.0,0.05,0.218,479.0,70.62,0.581,0.562,0.591,2.05,0.567,0.177,0,96,0.347,0.733,14,29,12.0,15.0,26.77,-0.5,-0.7586,7,0,Low
2022-03-15,3,74,11,27.67,28.67,0.0,0.05,0.203,447.0,69.67,0.534,0.828,0.625,2.6,0.722,0.384,0,96,0.411,1.548,15,20,11.0,14.14,26.47,-0.4667,-0.6,8,0,Low
2022-03-16,3,75,11,19.42,30.18,0.07,0.068,0.073,486.0,77.48,0.554,0.753,0.702,2.46,0.694,0.125,0,96,0.577,0.752,14,19,10.29,13.43,26.2,-0.3571,-0.5263,9,0,Low
2022-03-17,3,76,11,26.43,29.59,0.0,0.05,0.112,610.0,74.28,0.471,0.81,0.6,2.77,0.581,0.468,0,109,0.312,1.138,11,29,10.0,12.0,21.73,-0.1818,-0.6897,9,0,Low
2022-03-18,3,77,11,25.09,26.7,1.35,0.05,0.083,421.0,55.51,0.584,0.849,0.63,2.85,0.686,0.132,0,114,0.625,0.83,15,13,8.86,11.57,20.87,-0.5333,-0.4615,7,0,Low
2022-03-19,3,78,11,24.44,25.63,0.0,0.05,0.08,464.0,77.72,0.565,0.661,0.535,2.36,0.635,0.466,0,92,0.133,0.961,12,19,8.14,10.71,20.03,-0.4167,-0.6316,7,0,Low
2022-03-20,3,79,11,25.35,24.62,0.0,0.05,0.031,552.0,63.39,0.57,0.52,0.519,2.64,0.504,0.296,0,91,0.388,1.115,10,12,7.57,10.29,19.33,-0.4,-0.5,6,0,Low
2022-03-21,3,80,12,21.32,20.48,0.0,0.05,0.102,507.0,57.83,0.523,0.812,0.51,2.34,0.83,0.279,0,87,0.302,1.024,7,14,7.29,9.64,18.4,-0.2857,-0.6429,5,0,Low
2022-03-22,3,81,12,24.99,23.34,0.0,0.05,0.2,514.0,55.32,0.58,0.697,0.571,2.75,0.681,0.489,0,95,0.114,1.032,8,15,6.86,8.93,17.53,-0.375,-0.6667,5,0,Low
2022-03-23,3,82,12,26.27,20.0,0.0,0.05,0.149,423.0,69.84,0.618,0.629,0.744,2.59,0.374,0.496,0,77,0.045,0.908,9,14,6.14,8.21,16.7,-0.5556,-0.7143,4,0,Low
2022-03-24,3,83,12,28.65,24.49,0.0,0.05,0.212,494.0,61.83,0.563,0.766,0.572,2.25,0.728,0.36,0,91,0.272,0.827,9,11,5.57,7.79,15.37,-0.4444,-0.5455,5,0,Low
2022-03-25,3,84,12,24.79,20.0,0.0,0.05,0.178,591.0,48.74,0.588,0.917,0.626,2.22,0.558,0.151,0,88,0.285,1.166,7,15,4.86,6.86,14.6,-0.7143,-0.8667,2,0,Low
2022-03-26,3,85,12,24.34,20.0,0.0,0.05,0.094,371.0,68.42,0.543,0.711,0.639,2.61,0.607,0.302,0,105,0.19,0.786,7,12,4.57,6.36,13.6,-0.2857,-0.5833,5,0,Low
2022-03-27,3,86,12,25.09,26.31,1.12,0.05,0.1,444.0,67.09,0.567,0.796,0.524,2.96,0.651,0.312,0,116,0.487,0.838,6,10,4.14,5.86,12.77,-0.5,-0.7,3,0,Low
2022-03-28,3,87,13,28.06,33.65,1.19,0.05,0.117,355.0,70.5,0.524,0.641,0.57,2.86,0.531,0.306,0,95,0.277,0.841,5,7,3.86,5.57,11.5,-0.4,-0.5714,3,0,Low
2022-03-29,3,88,13,27.02,30.89,0.0,0.05,0.049,543.0,65.71,0.594,0.585,0.644,2.12,0.92,0.328,0,121,0.172,0.917,5,8,3.71,5.29,10.7,-0.2,-0.5,4,0,Low
2022-03-30,3,89,13,25.43,20.0,0.0,0.05,0.129,598.0,90.29,0.575,0.793,0.63,2.16,0.426,0.107,0,93,0.308,0.645,4,9,3.57,4.86,9.83,-0.25,-0.6667,3,0,Low
2022-03-31,3,90,13,27.66,20.0,0.0,0.05,0.0,485.0,77.17,0.534,0.764,0.46,2.22,0.659,0.384,0,102,0.236,0.649,5,9,3.29,4.43,9.27,-0.4,-0.6667,3,0,Low
2022-04-01,4,91,13,26.96,31.31,0.0,0.05,0.164,420.0,67.0,0.547,0.683,0.642,2.26,0.707,0.925,0,105,0.646,1.136,2,7,3.57,4.21,8.77,1.0,-0.4286,4,0,Low
2022-04-02,4,92,13,28.84,20.0,0.0,0.05,0.148,422.0,71.36,0.573,0.856,0.561,1.77,0.656,0.524,0,97,0.293,1.139,5,7,3.43,4.0,7.93,-0.2,-0.4286,4,0,Low
2022-04-03,4,93,13,25.63,24.55,0.0,0.05,0.152,476.0,86.15,0.599,0.579,0.563,2.82,0.621,0.752,0,103,0.185,1.078,3,6,3.86,4.0,7.7,1.0,0.0,6,0,Low
2022-04-04,4,94,14,26.52,29.33,0.0,0.05,0.185,476.0,81.57,0.616,0.622,0.628,2.32,0.593,0.849,0,103,0.646,1.344,3,5,4.29,4.07,7.27,1.0,0.2,6,0,Low
2022-04-05,4,95,14,26.53,20.36,0.0,0.05,0.143,573.0,58.04,0.567,0.677,0.707,2.68,0.53,0.771,0,100,0.481,0.779,4,5,4.29,4.0,7.0,0.0,-0.2,4,0,Low
2022-04-06,4,96,14,24.52,26.95,0.0,0.05,0.204,446.0,62.26,0.531,0.691,0.586,2.37,0.527,0.833,0,108,0.369,0.569,3,4,4.71,4.14,6.73,1.0,0.5,6,0,Low
2022-04-07,4,97,14,28.18,20.0,0.0,0.05,0.172,535.0,64.18,0.579,0.837,0.683,2.49,0.824,0.909,0,99,0.207,1.196,3,5,5.0,4.14,6.4,0.6667,0.0,5,0,Low
2022-04-08,4,98,14,28.25,23.02,0.0,0.05,0.103,476.0,67.6,0.626,0.724,0.499,2.23,0.584,0.687,0,105,0.488,0.563,4,2,4.86,4.21,6.03,-0.25,0.5,3,0,Low
2022-04-09,4,99,14,27.87,28.72,0.0,0.05,0.127,440.0,66.05,0.524,0.705,0.609,2.49,0.97,0.924,1,106,0.087,0.966,4,5,5.43,4.43,5.93,1.0,0.6,8,0,Medium
2022-04-10,4,100,14,27.53,20.0,0.0,0.05,0.025,474.0,72.34,0.544,0.618,0.562,2.15,0.75,0.581,0,97,0.475,1.07,6,3,5.14,4.5,5.57,-0.3333,0.3333,4,0,Low
2022-04-11,4,101,15,25.31,29.82,0.0,0.05,0.081,527.0,79.36,0.591,0.807,0.62,2.49,0.25,0.635,0,95,0.395,1.515,6,3,4.71,4.5,5.27,-0.5,0.0,3,0,Low
2022-04-12,4,102,15,27.43,27.25,0.0,0.05,0.118,573.0,81.03,0.578,0.629,0.579,3.08,0.782,0.522,0,89,0.528,0.863,4,4,5.0,4.64,5.13,0.5,0.5,6,0,Low
2022-04-13,4,103,15,27.73,30.89,0.0,0.05,0.166,480.0,68.73,0.557,0.618,0.506,2.71,0.642,0.682,0,99,0.0,0.882,6,3,5.0,4.86,5.1,0.0,1.0,6,0,Low
2022-04-14,4,104,15,26.95,29.13,0.0,0.05,0.097,404.0,55.65,0.58,0.688,0.538,2.62,0.442,0.69,0,107,0.184,1.165,5,3,4.86,4.93,4.97,-0.2,0.3333,4,0,Low
2022-04-15,4,105,15,28.37,36.2,0.0,0.05,0.08,580.0,61.6,0.603,0.733,0.485,1.97,0.846,0.903,0,92,0.17,1.15,3,4,5.43,5.14,4.9,1.3333,0.75,7,0,Medium
2022-04-16,4,106,15,29.63,28.99,0.0,0.05,0.054,428.0,66.8,0.571,0.662,0.509,2.73,0.585,0.827,0,94,0.149,0.914,8,4,5.0,5.21,4.77,-0.375,0.25,5,0,Low
2022-04-17,4,107,15,32.73,25.9,0.0,0.05,0.134,521.0,59.55,0.569,0.777,0.634,2.77,0.572,0.718,0,100,0.427,1.046,4,6,5.0,5.07,4.67,0.0,-0.3333,4,0,Low
2022-04-18,4,108,16,29.45,29.46,0.0,0.05,0.245,498.0,83.41,0.592,0.697,0.582,2.61,0.706,0.826,0,92,0.297,0.816,3,6,5.43,5.07,4.63,1.0,0.0,6,0,Medium
2022-04-19,4,109,16,29.75,32.24,0.0,0.05,0.162,487.0,60.2,0.567,0.804,0.616,2.59,0.821,0.526,0,97,0.193,1.112,6,4,5.29,5.14,4.6,-0.1667,0.25,5,0,Low
2022-04-20,4,110,16,29.22,29.53,0.08,0.05,0.196,461.0,78.17,0.609,0.76,0.727,2.44,0.667,0.59,0,101,0.151,0.602,6,6,5.0,5.0,4.57,-0.3333,-0.3333,4,0,Low
2022-04-21,4,111,16,25.67,29.75,0.0,0.05,0.083,550.0,55.18,0.636,0.863,0.579,2.76,0.656,0.813,0,86,0.177,1.727,4,5,5.29,5.07,4.6,0.5,0.2,6,0,Medium
2022-04-22,4,112,16,29.59,25.57,0.0,0.05,0.069,213.0,78.57,0.549,0.685,0.644,3.06,0.545,0.821,0,83,0.506,1.18,7,3,5.0,5.21,4.63,-0.2857,0.6667,5,0,Low
2022-04-23,4,113,16,29.9,26.09,0.0,0.05,0.088,591.0,70.61,0.538,0.788,0.602,2.63,0.819,0.887,0,96,0.338,0.725,5,8,5.14,5.07,4.67,0.2,-0.25,6,0,Medium
2022-04-24,4,114,16,34.84,21.94,0.0,0.05,0.169,427.0,87.13,0.587,0.577,0.793,2.11,0.668,0.701,0,84,0.5,0.933,4,4,5.71,5.36,4.87,1.0,1.0,8,0,High
2022-04-25,4,115,17,29.66,41.15,0.0,0.05,0.049,533.0,60.68,0.537,0.951,0.389,2.14,0.616,0.861,0,102,0.83,0.737,6,3,5.86,5.64,4.93,0.1667,1.3333,7,0,Medium
2022-04-26,4,116,17,30.78,23.5,0.0,0.05,0.104,528.0,66.36,0.537,0.784,0.55,2.79,0.598,0.842,0,94,0.347,0.795,5,6,5.86,5.57,5.0,0.0,-0.1667,5,0,Low
2022-04-27,4,117,17,30.24,27.11,0.0,0.05,0.122,602.0,68.3,0.515,0.696,0.646,2.11,0.804,0.982,0,95,0.095,1.053,4,6,6.29,5.64,5.13,0.75,0.1667,7,0,Medium
2022-04-28,4,118,17,28.1,27.28,0.0,0.05,0.074,516.0,70.47,0.565,0.699,0.547,2.58,0.611,0.608,0,95,0.325,1.348,6,4,6.14,5.71,5.17,-0.1667,0.25,5,0,Low
2022-04-29,4,119,17,32.86,37.29,0.0,0.05,0.058,434.0,68.54,0.576,0.7,0.64,2.36,0.804,0.776,0,94,0.688,0.975,5,7,6.43,5.71,5.3,0.4,0.0,7,0,Medium
2022-04-30,4,120,17,32.2,30.48,0.0,0.05,0.175,372.0,68.73,0.562,0.867,0.596,2.07,0.579,0.801,0,98,0.546,0.527,6,5,6.43,5.79,5.4,0.0,0.2,6,0,Low
2022-05-01,5,121,17,32.41,40.08,5.25,0.05,0.192,472.0,68.57,0.619,0.792,0.661,2.83,0.758,0.252,0,100,0.234,0.847,8,4,6.0,5.86,5.43,-0.375,0.25,5,0,Low
